year,month,day,hour,atm.tmp,atm.rhv,atm.tdew,atm.prss,atm.vdir,atm.vels,rain,rshort.in
2008,1,1,0,22.1,94,21.1,969.2,NA,0.1,0,NA
2008,1,1,1,21.9,94,21,969.8,NA,1,0,NA
2008,1,1,2,21.8,95,20.9,970.4,NA,0.2,0,NA
2008,1,1,3,21.8,95,21.1,970.2,NA,1.8,0,NA
2008,1,1,4,21.4,95,20.7,969.7,NA,2.3,0,NA
2008,1,1,5,20.6,96,19.9,969.2,NA,1.6,0,NA
2008,1,1,6,20.6,97,20.1,968.6,NA,1.7,0,NA
2008,1,1,7,20.6,97,20,968.6,NA,0.3,0,NA
2008,1,1,8,20.6,97,20.1,969.2,NA,0.1,0,NA
2008,1,1,9,20.6,97,20.1,969.8,NA,0.1,0,NA
2008,1,1,10,20.9,97,20.4,970.6,NA,0.1,0,116.9
2008,1,1,11,22.5,94,21.4,971.6,NA,1.8,0,510.9
2008,1,1,12,24.7,79,20.9,971.9,NA,2,0,1512.3
2008,1,1,13,25.8,77,21.5,972.2,NA,2.4,0,1599
2008,1,1,14,28.1,71,22.4,971.9,NA,1.5,0,2111.2
2008,1,1,15,29.1,62,21.1,971.3,NA,2.8,0,2926.7
